,param_max_depth,param_max_leaf_nodes,param_splitter,mean_test_score
0,20,20,best,0.7469861792956317
1,20,20,random,0.7108328921704915
2,20,40,best,0.7595163642144501
3,20,40,random,0.7298241336598573
4,20,80,best,0.7681627531890325
5,20,80,random,0.7479483945974866
6,20,160,best,0.7777474105398634
7,20,160,random,0.7599082874996526
8,20,320,best,0.7827713327800989
9,20,320,random,0.7655022908729439
10,20,640,best,0.7836264819862386
11,20,640,random,0.7721057904968094
12,20,1280,best,0.7814174036660455
13,20,1280,random,0.7725928236946835
14,40,20,best,0.7469861792956317
15,40,20,random,0.7165815084849262
16,40,40,best,0.7595163642144501
17,40,40,random,0.7295270748442106
18,40,80,best,0.7681627531890325
19,40,80,random,0.7498485467863244
20,40,160,best,0.7777474105398634
21,40,160,random,0.7596826455777428
22,40,320,best,0.7827950871598126
23,40,320,random,0.7690534218226295
24,40,640,best,0.783650237776545
25,40,640,random,0.7710963175210133
26,40,1280,best,0.7813580170114648
27,40,1280,random,0.7712626898675299
28,20,20,best,0.7469861792956317
29,20,20,random,0.7158214974033106
30,20,40,best,0.7595163642144501
31,20,40,random,0.7361068729855855
32,20,80,best,0.7681627531890325
33,20,80,random,0.7466298847588148
34,20,160,best,0.7777474105398634
35,20,160,random,0.7598488712226269
36,20,320,best,0.7827713327800989
37,20,320,random,0.767034267808626
38,20,640,best,0.7836977465359725
39,20,640,random,0.7722958558622607
40,20,1280,best,0.7812273756812986
41,20,1280,random,0.7680558902186545
42,40,20,best,0.7469861792956317
43,40,20,random,0.7205719424100172
44,40,40,best,0.7595163642144501
45,40,40,random,0.7330784343099006
46,40,80,best,0.7681627531890325
47,40,80,random,0.7486370155866252
48,40,160,best,0.7777474105398634
49,40,160,random,0.7580672511316127
50,40,320,best,0.7827713327800989
51,40,320,random,0.7664760871402054
52,40,640,best,0.7837096223152367
53,40,640,random,0.7690297647738065
54,40,1280,best,0.78147678961533
55,40,1280,random,0.7707162544985562
56,80,20,best,0.7469861792956317
57,80,20,random,0.7207264178183802
58,80,40,best,0.7595163642144501
59,80,40,random,0.7394205807438026
60,80,80,best,0.7681627531890325
61,80,80,random,0.7504068015108576
62,80,160,best,0.7777474105398634
63,80,160,random,0.7586849066166527
64,80,320,best,0.7827950871598126
65,80,320,random,0.7657160125819219
66,80,640,best,0.7836383612919844
67,80,640,random,0.7706331586032256
68,80,1280,best,0.7813936521075171
69,80,1280,random,0.7712982628975067
70,160,20,best,0.7469861792956317
71,160,20,random,0.7183986740993613
72,160,40,best,0.7595163642144501
73,160,40,random,0.7361781029758003
74,160,80,best,0.7681627531890325
75,160,80,random,0.7499671691620755
76,160,160,best,0.7777474105398634
77,160,160,random,0.7588036869787771
78,160,320,best,0.7827950871598126
79,160,320,random,0.7673313640049771
80,160,640,best,0.7836264819862385
81,160,640,random,0.7730678181898456
82,160,1280,best,0.781441157340463
83,160,1280,random,0.7716070119994882
84,320,20,best,0.7469861792956317
85,320,20,random,0.7229948172005971
86,320,40,best,0.7595163642144501
87,320,40,random,0.7363800363622566
88,320,80,best,0.7681627531890325
89,320,80,random,0.7475682116746569
90,320,160,best,0.7777474105398634
91,320,160,random,0.7584949251814621
92,320,320,best,0.7827713327800989
93,320,320,random,0.7664287398936328
94,320,640,best,0.7836621135558092
95,320,640,random,0.7705381502532226
96,320,1280,best,0.7814767860888484
97,320,1280,random,0.7715714121682515
98,640,20,best,0.7469861792956317
99,640,20,random,0.7187190500110097
100,640,40,best,0.7595163642144501
101,640,40,random,0.7450621203830774
102,640,80,best,0.7681627531890325
103,640,80,random,0.750822456606292
104,640,160,best,0.7777474105398634
105,640,160,random,0.7618917394144545
106,640,320,best,0.7827713327800989
107,640,320,random,0.7689822785838609
108,640,640,best,0.7836264833968312
109,640,640,random,0.77018182045159
110,640,1280,best,0.7812511258292345
111,640,1280,random,0.7728778621453223
112,1280,20,best,0.7469861792956317
113,1280,20,random,0.7266527899617715
114,1280,40,best,0.7595163642144501
115,1280,40,random,0.7406916347202703
116,1280,80,best,0.7681627531890325
117,1280,80,random,0.7503594486219145
118,1280,160,best,0.7777474105398634
119,1280,160,random,0.7582336326469813
120,1280,320,best,0.7827950871598126
121,1280,320,random,0.7667019103232668
122,1280,640,best,0.7836264826915349
123,1280,640,random,0.7719277356222174
124,1280,1280,best,0.7814649166572509
125,1280,1280,random,0.7694455143789465
