,param_n_neighbors,param_weights,param_metric,mean_test_score
0,5,uniform,minkowski,0.6780170269813924
1,5,distance,minkowski,0.7006781501601234
2,7,uniform,minkowski,0.6866278168300345
3,7,distance,minkowski,0.7069848124313836
4,9,uniform,minkowski,0.6883380820933871
5,9,distance,minkowski,0.7102628463022513
6,11,uniform,minkowski,0.6899058535220876
7,11,distance,minkowski,0.7120919060336548
8,13,uniform,minkowski,0.6900720953887868
9,13,distance,minkowski,0.7122225156254871
10,15,uniform,minkowski,0.6900839831580884
11,15,distance,minkowski,0.7124363135064666
12,5,uniform,euclidean,0.6780170269813924
13,5,distance,euclidean,0.7006781501601234
14,7,uniform,euclidean,0.6866278168300345
15,7,distance,euclidean,0.7069848124313836
16,9,uniform,euclidean,0.6883380820933871
17,9,distance,euclidean,0.7102628463022513
18,11,uniform,euclidean,0.6899058535220876
19,11,distance,euclidean,0.7120919060336548
20,13,uniform,euclidean,0.6900720953887868
21,13,distance,euclidean,0.7122225156254871
22,15,uniform,euclidean,0.6900839831580884
23,15,distance,euclidean,0.7124363135064666
24,5,uniform,manhattan,0.6983503584809554
25,5,distance,manhattan,0.7221872881907021
26,7,uniform,manhattan,0.7054645843216297
27,7,distance,manhattan,0.7282326015037763
28,9,uniform,manhattan,0.7075786352488194
29,9,distance,manhattan,0.7319381627228613
30,11,uniform,manhattan,0.7102271879314209
31,11,distance,manhattan,0.7339928608496932
32,13,uniform,manhattan,0.7115336597726772
33,13,distance,manhattan,0.7364276473896489
34,15,uniform,manhattan,0.7113198978618096
35,15,distance,manhattan,0.7370690022412906
